momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	20	([], [])
0.75	0.25	75	20	([], [])
0.75	0.25	75	20	([], [])
0.75	0.25	75	20	([], [])
0.75	0.25	75	20	([], [])
0.75	0.5	75	10	([], [])
0.75	0.5	75	10	([], [])
0.75	0.5	75	10	([], [])
0.75	0.5	75	10	([], [])
0.75	0.5	75	10	([], [])
0.75	0.5	75	20	([], [])
0.75	0.5	75	20	([], [])
0.75	0.5	75	20	([], [])
0.75	0.5	75	20	([], [])momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	([], [])
0.75	0.25	75	10	([], [])
0.75	0.25	75	10	([], [])momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
0.75	0.25	75	10	
momentum	learn_rate	data_size	n_neurons	acuracia
